FID,OID_,Name,FolderPath,SymbolID,AltMode,Base,TimeSpan,TimeStamp,BeginTime,EndTime,Snippet,PopupInfo,HasLabel,LabelID,POINT_X,POINT_Y,POINT_Z,POINT_M
78,0,056,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 21:57:57, , , ,-1,0,-149.851977000000010,-17.494561999999998,0.000000000000000,1.000000000000000
79,0,056POR,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-09-15 01:34:50, , , ,-1,0,-149.851987000000010,-17.494593999999999,0.000000000000000,1.000000000000000
80,0,057,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 22:00:38, , , ,-1,0,-149.851912000000000,-17.494547000000001,0.000000000000000,1.000000000000000
81,0,057POR,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-09-15 01:32:14, , , ,-1,0,-149.851972999999990,-17.494537000000001,0.000000000000000,1.000000000000000
82,0,058,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 22:02:29, , , ,-1,0,-149.851875000000010,-17.494471000000001,0.000000000000000,1.000000000000000
83,0,058POR,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-09-15 01:52:36, , , ,-1,0,-149.851808000000010,-17.494437999999999,0.000000000000000,1.000000000000000
84,0,059,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 22:05:09, , , ,-1,0,-149.852026000000000,-17.494250000000001,0.000000000000000,1.000000000000000
85,0,060,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 22:07:46, , , ,-1,0,-149.851919000000010,-17.494084000000001,0.000000000000000,1.000000000000000
86,0,060POR,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-09-15 02:00:42, , , ,-1,0,-149.851843000000000,-17.494195000000001,0.000000000000000,1.000000000000000
87,0,063,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 22:14:06, , , ,-1,0,-149.851873000000010,-17.494520000000001,0.000000000000000,1.000000000000000
88,0,061,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 22:09:31, , , ,-1,0,-149.852014000000000,-17.494105000000001,0.000000000000000,1.000000000000000
89,0,063POR,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-09-15 01:44:46, , , ,-1,0,-149.851730000000000,-17.494516000000001,0.000000000000000,1.000000000000000
90,0,064,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:05:44, , , ,-1,0,-149.850229000000010,-17.481224000000001,0.000000000000000,1.000000000000000
91,0,065,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:07:31, , , ,-1,0,-149.850404999999990,-17.481383000000001,0.000000000000000,1.000000000000000
92,0,066,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:12:09, , , ,-1,0,-149.850685000000000,-17.481370999999999,0.000000000000000,1.000000000000000
93,0,067,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:14:23, , , ,-1,0,-149.850693000000010,-17.481392000000000,0.000000000000000,1.000000000000000
94,0,068,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:16:25, , , ,-1,0,-149.850428999999990,-17.481452000000001,0.000000000000000,1.000000000000000
95,0,069,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:19:19, , , ,-1,0,-149.850619999999990,-17.481642999999998,0.000000000000000,1.000000000000000
96,0,070,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:20:14, , , ,-1,0,-149.850568000000010,-17.481646000000001,0.000000000000000,1.000000000000000
97,0,071,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:28:47, , , ,-1,0,-149.850632999999990,-17.481743999999999,0.000000000000000,1.000000000000000
98,0,072,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:30:41, , , ,-1,0,-149.850706000000000,-17.482101000000000,0.000000000000000,1.000000000000000
99,0,073,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 23:31:10, , , ,-1,0,-149.850715000000010,-17.482104000000000,0.000000000000000,1.000000000000000
100,0,074,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:15:37, , , ,-1,0,-149.842413999999990,-17.478114999999999,0.000000000000000,1.000000000000000
101,0,075,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:19:07, , , ,-1,0,-149.842503999999990,-17.477975000000001,0.000000000000000,1.000000000000000
102,0,076,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:21:22, , , ,-1,0,-149.842508000000010,-17.477747000000001,0.000000000000000,1.000000000000000
103,0,077,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:23:36, , , ,-1,0,-149.842487000000010,-17.477685999999999,0.000000000000000,1.000000000000000
104,0,078,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:24:27, , , ,-1,0,-149.842536999999990,-17.477644999999999,0.000000000000000,1.000000000000000
105,0,079,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:30:13, , , ,-1,0,-149.842491999999990,-17.477429999999998,0.000000000000000,1.000000000000000
106,0,080,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:31:51, , , ,-1,0,-149.842326000000010,-17.477760000000000,0.000000000000000,1.000000000000000
107,0,081,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 00:38:32, , , ,-1,0,-149.842491999999990,-17.477394000000000,0.000000000000000,1.000000000000000
108,0,082,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 01:04:23, , , ,-1,0,-149.832941000000010,-17.485603999999999,0.000000000000000,1.000000000000000
109,0,083,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:38:02, , , ,-1,0,-149.767014999999990,-17.513790000000000,0.000000000000000,1.000000000000000
110,0,084,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:40:26, , , ,-1,0,-149.767043000000000,-17.513548000000000,0.000000000000000,1.000000000000000
111,0,085,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:43:45, , , ,-1,0,-149.767155000000000,-17.513431000000001,0.000000000000000,1.000000000000000
112,0,086,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:46:18, , , ,-1,0,-149.767001999999990,-17.513286000000001,0.000000000000000,1.000000000000000
113,0,087,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:47:06, , , ,-1,0,-149.766989999999990,-17.513228999999999,0.000000000000000,1.000000000000000
114,0,088,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:49:52, , , ,-1,0,-149.766994000000010,-17.512920000000001,0.000000000000000,1.000000000000000
115,0,089,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:50:14, , , ,-1,0,-149.766961000000010,-17.512872000000002,0.000000000000000,1.000000000000000
116,0,090,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 20:51:54, , , ,-1,0,-149.767018000000010,-17.512713000000002,0.000000000000000,1.000000000000000
117,0,091,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:10:14, , , ,-1,0,-149.764102000000010,-17.513741000000000,0.000000000000000,1.000000000000000
118,0,092,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:13:27, , , ,-1,0,-149.764062000000000,-17.514082999999999,0.000000000000000,1.000000000000000
119,0,093,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:16:04, , , ,-1,0,-149.763717000000010,-17.514244999999999,0.000000000000000,1.000000000000000
120,0,094,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:18:00, , , ,-1,0,-149.763544999999990,-17.513929999999998,0.000000000000000,1.000000000000000
121,0,095,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:21:43, , , ,-1,0,-149.763219999999990,-17.513936000000001,0.000000000000000,1.000000000000000
122,0,096,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:23:43, , , ,-1,0,-149.763371000000010,-17.514171999999999,0.000000000000000,1.000000000000000
123,0,097,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:24:48, , , ,-1,0,-149.763193000000000,-17.514135000000000,0.000000000000000,1.000000000000000
124,0,098,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:27:24, , , ,-1,0,-149.763295000000000,-17.514294000000000,0.000000000000000,1.000000000000000
125,0,099,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:30:45, , , ,-1,0,-149.763166000000010,-17.514661000000000,0.000000000000000,1.000000000000000
126,0,100,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 21:32:27, , , ,-1,0,-149.763384000000000,-17.514758000000000,0.000000000000000,1.000000000000000
127,0,101,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:02:57, , , ,-1,0,-149.772619999999990,-17.530163000000002,0.000000000000000,1.000000000000000
128,0,102,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:03:22, , , ,-1,0,-149.772636000000010,-17.530189000000000,0.000000000000000,1.000000000000000
129,0,103,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:03:36, , , ,-1,0,-149.772635000000010,-17.530211000000001,0.000000000000000,1.000000000000000
130,0,104,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:04:20, , , ,-1,0,-149.772622000000010,-17.530294999999999,0.000000000000000,1.000000000000000
131,0,105,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:04:49, , , ,-1,0,-149.772568000000010,-17.530318999999999,0.000000000000000,1.000000000000000
132,0,106,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:05:52, , , ,-1,0,-149.772532000000010,-17.530400000000000,0.000000000000000,1.000000000000000
133,0,107,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:06:51, , , ,-1,0,-149.772541999999990,-17.530400000000000,0.000000000000000,1.000000000000000
134,0,108,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:07:05, , , ,-1,0,-149.772560000000000,-17.530408000000001,0.000000000000000,1.000000000000000
135,0,109,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:07:25, , , ,-1,0,-149.772590000000010,-17.530436000000002,0.000000000000000,1.000000000000000
136,0,110,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:20:54, , , ,-1,0,-149.774335000000010,-17.542985000000002,0.000000000000000,1.000000000000000
137,0,111,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-28 22:22:16, , , ,-1,0,-149.774283999999990,-17.542793000000000,0.000000000000000,1.000000000000000
